Pclass,Sex,SibSp,Parch,Embarked,Title,FamilySize,IsAlone,AgeGroup,FarePerPerson,FareBand
3,0,0,0,1,1,1,1,4,7.8958,1
3,0,0,0,1,1,1,1,4,8.6625,2
3,0,0,0,1,1,1,1,5,0.0,1
3,1,0,0,1,3,1,1,4,8.05,2
3,1,0,0,2,3,1,1,4,7.2292,1
3,0,0,0,1,1,1,1,4,9.4833,2
1,1,0,0,2,2,1,1,4,106.425,4
3,0,0,0,1,1,1,1,4,8.05,2
1,0,0,1,2,1,2,0,5,30.6896,4
3,1,0,0,3,2,1,1,3,7.7333,1
3,1,0,0,3,2,1,1,4,7.75,1
3,1,0,2,2,2,3,0,1,5.247233333333333,3
3,0,0,0,1,1,1,1,4,7.7958,1
3,1,1,1,2,2,3,0,4,7.452766666666666,3
3,0,4,1,3,4,6,0,2,4.854166666666667,3
1,0,0,0,1,1,1,1,5,30.5,3
3,0,1,0,3,1,2,0,4,3.875,1
1,1,1,0,1,3,2,0,4,26.55,4
3,0,4,1,1,4,6,0,2,6.614583333333333,4
3,0,0,0,3,1,1,1,4,7.75,1
2,0,0,0,1,1,1,1,5,13.0,2
2,0,0,0,1,1,1,1,5,13.5,2
1,0,1,0,2,1,2,0,4,41.0854,4
3,0,0,0,1,1,1,1,4,8.05,2
1,0,0,0,1,5,1,1,5,26.55,3
3,1,0,0,2,2,1,1,3,14.4583,3
2,0,1,0,2,1,2,0,4,15.0354,3
1,1,0,0,1,2,1,1,4,77.9583,4
3,0,4,2,1,4,7,0,1,4.483928571428572,4
2,0,0,0,1,1,1,1,4,10.5,2
2,1,2,3,1,3,6,0,4,3.125,3
1,1,0,2,1,2,3,0,3,26.55,4
1,1,0,0,1,5,1,1,5,25.9292,3
3,1,0,2,1,3,3,0,5,6.7375,3
3,0,0,0,1,1,1,1,4,9.5,2
3,0,0,0,1,1,1,1,5,7.25,1
3,1,0,1,2,2,2,0,1,6.70835,2
3,1,0,2,2,3,3,0,4,5.081933333333333,3
3,0,0,0,1,1,1,1,5,7.75,1
2,1,1,1,1,3,3,0,5,8.75,3
3,0,1,1,1,1,3,0,3,6.7375,3
3,1,8,2,1,2,11,0,4,6.322727272727272,4
3,1,1,0,3,2,2,0,4,7.75,3
2,0,0,1,1,5,2,0,4,16.5,4
3,0,0,0,1,1,1,1,5,8.05,2
1,0,0,1,2,1,2,0,4,123.7604,4
1,0,0,0,1,1,1,1,5,0.0,1
3,1,1,0,1,3,2,0,4,8.05,3
3,0,1,2,1,1,4,0,4,5.8625,3
3,0,8,2,1,4,11,0,4,6.322727272727272,4
2,1,1,0,1,3,2,0,4,13.0,3
1,1,0,1,1,3,2,0,5,76.73125,4
3,1,0,0,1,2,1,1,4,7.925,2
1,1,0,1,2,3,2,0,5,28.9896,4
3,0,0,0,2,1,1,1,4,7.225,1
3,0,0,0,1,1,1,1,4,8.3625,2
2,0,0,0,1,1,1,1,4,10.5,2
3,0,0,0,1,1,1,1,3,8.05,2
3,0,0,0,1,1,1,1,4,7.775,1
3,0,0,0,1,1,1,1,4,7.8958,1
3,0,0,0,1,1,1,1,5,7.8542,1
3,0,0,0,3,1,1,1,4,7.75,1
3,0,5,2,1,4,8,0,2,5.8625,4
1,1,1,0,1,3,2,0,4,41.7375,4
3,0,1,0,2,4,2,0,2,5.62085,2
3,1,0,0,1,2,1,1,4,7.8542,1
2,1,1,0,2,2,2,0,4,6.92915,2
1,1,0,1,1,3,2,0,5,105.66875,4
3,1,0,0,3,2,1,1,4,7.75,1
3,0,0,0,1,1,1,1,4,8.05,2
2,0,0,0,1,1,1,1,4,0.0,1
2,0,0,0,1,1,1,1,4,13.0,2
3,1,0,2,1,3,3,0,4,5.566666666666666,3
2,0,0,0,1,1,1,1,5,26.0,3
2,1,0,0,1,2,1,1,4,13.0,2
3,0,0,0,3,1,1,1,4,7.8292,1
3,1,2,1,2,2,4,0,1,4.814575,3
2,0,0,0,1,1,1,1,4,13.0,2
3,0,0,0,1,1,1,1,4,9.225,2
2,1,1,0,1,3,2,0,5,13.0,3
3,0,0,0,3,1,1,1,4,8.4583,2
3,0,0,0,1,1,1,1,4,8.05,2
2,0,0,2,1,4,3,0,1,9.666666666666666,3
3,1,0,0,1,2,1,1,4,7.55,1
2,0,0,0,1,1,1,1,5,13.5,2
3,0,1,0,1,1,2,0,3,3.5271,1
1,0,1,0,2,1,2,0,5,44.5521,4
3,0,0,0,1,1,1,1,5,7.925,2
3,0,0,1,1,4,2,0,2,6.2375,2
1,0,0,0,1,1,1,1,6,26.0,3
3,1,0,0,1,2,1,1,3,7.775,1
3,0,0,0,1,1,1,1,4,14.5,3
3,0,1,2,1,1,4,0,4,5.14375,3
2,0,1,1,1,1,3,0,5,8.75,3
3,0,0,0,3,1,1,1,4,24.15,3
3,1,0,0,1,2,1,1,4,7.925,2
3,0,4,1,1,1,6,0,3,6.614583333333333,4
1,1,0,2,1,2,3,0,5,23.666666666666668,4
1,1,0,1,1,2,2,0,4,27.5,4
3,0,0,0,1,1,1,1,4,7.8958,1
3,1,0,0,3,2,1,1,4,7.8792,1
3,0,0,0,1,1,1,1,5,9.0,2
2,1,0,0,1,3,1,1,5,15.75,3
3,1,1,0,1,2,2,0,4,4.9125,2
2,1,1,0,1,3,2,0,5,13.0,3
3,0,1,1,1,1,3,0,3,2.6180666666666665,1
2,0,0,0,1,1,1,1,3,11.5,2
3,0,0,0,1,1,1,1,4,56.4958,4
3,0,0,0,2,1,1,1,4,7.8958,1
1,0,0,0,2,1,1,1,4,26.55,3
1,0,1,4,1,1,6,0,6,43.833333333333336,4
1,0,1,1,1,1,3,0,5,26.55,4
3,1,0,3,2,3,4,0,4,4.814575,3
3,0,0,0,1,1,1,1,6,6.2375,1
2,0,0,0,1,1,1,1,4,10.5,2
3,0,0,0,1,1,1,1,5,8.05,2
2,1,0,0,1,3,1,1,4,10.5,2
3,1,0,0,1,3,1,1,6,9.5875,2
1,1,0,0,2,5,1,1,4,69.3,4
1,1,1,0,2,3,2,0,5,35.64165,4
3,0,0,0,1,1,1,1,4,7.25,1
1,1,1,1,1,3,3,0,5,54.95556666666667,4
3,0,1,3,1,1,5,0,3,6.875,4
3,0,1,0,1,1,2,0,4,3.9625,2
2,0,0,0,2,1,1,1,4,15.05,3
3,1,0,5,1,3,6,0,5,6.614583333333333,4
2,0,0,0,1,1,1,1,4,13.0,2
3,0,0,0,1,1,1,1,4,8.05,2
3,1,3,1,1,2,5,0,1,4.215,3
2,0,1,1,1,4,3,0,1,8.666666666666666,3
2,0,1,0,1,5,2,0,5,13.0,3
3,0,2,0,1,1,3,0,4,2.6416666666666666,2
3,0,0,0,1,1,1,1,5,7.4958,1
1,0,0,0,1,1,1,1,5,26.55,3
3,1,0,0,1,3,1,1,4,8.6833,2
3,0,0,0,1,1,1,1,4,7.8958,1
3,0,3,1,1,4,5,0,4,5.0933399999999995,3
3,0,0,1,2,4,2,0,1,4.25835,2
3,1,0,0,1,2,1,1,4,7.775,1
1,0,0,0,1,1,1,1,5,52.0,4
3,0,0,0,1,1,1,1,5,8.6625,2
3,0,0,0,1,1,1,1,4,8.05,2
3,0,1,1,2,4,3,0,4,5.081933333333333,3
3,0,1,1,2,1,3,0,3,2.409733333333333,1
2,0,0,0,1,1,1,1,4,26.0,3
3,0,0,0,1,1,1,1,4,7.775,1
1,0,0,0,2,1,1,1,4,79.2,4
1,0,0,0,2,1,1,1,5,40.125,4
3,1,0,0,1,2,1,1,4,7.775,1
1,0,2,0,1,5,3,0,5,44.550000000000004,4
3,0,0,0,3,1,1,1,4,7.75,1
3,0,0,0,2,1,1,1,5,7.225,1
3,0,0,0,1,1,1,1,4,7.775,1
3,0,0,0,1,1,1,1,4,7.8958,1
2,0,0,0,1,1,1,1,3,13.0,2
3,1,0,0,3,2,1,1,3,7.75,1
1,0,0,0,1,1,1,1,5,30.0,3
1,0,0,0,2,1,1,1,5,29.7,3
1,0,1,0,2,1,2,0,5,38.3646,4
3,0,0,0,1,1,1,1,4,7.8958,1
1,0,0,0,1,1,1,1,4,30.0,3
1,0,0,0,1,1,1,1,5,25.925,3
1,0,0,1,1,1,2,0,5,76.73125,4
3,0,0,0,1,1,1,1,5,8.05,2
2,0,1,1,1,4,3,0,1,6.25,3
1,1,1,0,2,3,2,0,3,113.7625,4
1,0,1,0,2,1,2,0,3,54.45,4
3,0,1,0,3,1,2,0,4,12.075,3
3,0,3,1,1,4,5,0,1,4.215,3
1,0,0,0,2,1,1,1,4,512.3292,4
3,0,0,0,1,1,1,1,6,7.775,1
2,0,0,0,1,1,1,1,4,13.0,2
3,0,0,0,1,1,1,1,4,16.1,3
1,0,0,0,2,1,1,1,5,30.6958,3
3,0,1,0,1,1,2,0,4,3.9271,1
3,0,0,0,1,1,1,1,4,7.8542,1
3,0,0,0,2,1,1,1,4,7.2292,1
1,0,0,0,2,1,1,1,5,31.0,3
1,0,0,0,2,1,1,1,4,76.7292,4
3,0,0,0,3,1,1,1,4,15.5,3
3,0,0,0,1,1,1,1,5,7.8958,1
3,0,4,1,1,4,6,0,1,6.614583333333333,4
2,0,0,0,1,1,1,1,4,0.0,1
3,0,0,0,3,1,1,1,4,7.7292,1
2,0,1,1,1,4,3,0,1,4.833333333333333,3
3,0,1,0,3,1,2,0,4,7.75,3
3,1,0,1,1,2,2,0,1,6.14375,2
3,1,0,0,1,2,1,1,3,9.8417,2
1,1,1,0,1,3,2,0,5,38.97915,4
2,0,1,0,2,1,2,0,4,13.8604,3
3,0,0,0,1,1,1,1,5,0.0,1
3,0,0,0,1,1,1,1,4,9.5,2
3,1,1,1,1,3,3,0,4,6.841666666666666,3
3,1,0,0,1,2,1,1,5,7.75,1
3,0,0,0,1,1,1,1,4,7.925,2
3,1,0,1,2,2,2,0,3,7.2271,2
2,1,1,0,1,3,2,0,5,13.0,3
1,1,1,1,1,3,3,0,5,17.518066666666666,4
2,0,0,2,1,1,3,0,5,8.666666666666666,3
2,0,0,0,1,1,1,1,4,13.0,2
2,1,0,0,1,2,1,1,4,10.5,2
3,0,0,0,1,1,1,1,4,9.5,2
1,0,0,0,2,1,1,1,6,49.5042,4
1,1,1,1,1,3,3,0,5,31.166666666666668,4
3,1,1,6,1,3,8,0,5,5.8625,4
3,0,0,0,1,1,1,1,4,7.8958,1
3,1,2,0,3,2,3,0,4,7.75,3
1,1,0,1,1,3,2,0,4,27.5,4
3,0,0,0,1,1,1,1,4,7.8958,1
3,1,1,0,1,2,2,0,4,3.9625,2
1,0,0,0,1,1,1,1,5,0.0,1
1,1,0,2,1,2,3,0,4,54.95556666666667,4
3,0,0,0,1,1,1,1,5,8.05,2
3,0,0,0,1,1,1,1,4,7.25,1
1,1,1,0,2,3,2,0,5,38.3646,4
2,1,1,2,2,3,4,0,4,10.3948,4
3,1,0,2,1,2,3,0,1,7.341666666666666,3
3,1,0,2,2,3,3,0,4,5.081933333333333,3
2,0,0,0,1,1,1,1,4,13.0,2
1,1,0,0,1,3,1,1,5,25.9292,3
2,1,1,0,1,3,2,0,4,10.5,3
1,1,1,0,2,3,2,0,5,29.7,4
2,0,0,0,2,1,1,1,4,13.8625,2
2,1,1,0,1,3,2,0,4,13.0,3
1,1,1,0,1,3,2,0,4,33.3,4
1,0,0,0,1,1,1,1,5,28.5,3
1,0,0,0,2,1,1,1,5,27.7208,3
3,0,0,0,1,1,1,1,4,7.8542,1
3,0,0,0,1,1,1,1,4,8.05,2
3,0,0,0,2,1,1,1,4,7.2292,1
2,0,1,0,1,1,2,0,4,10.5,3
3,0,0,0,1,1,1,1,4,7.925,2
3,0,8,2,1,1,11,0,4,6.322727272727272,4
3,0,1,4,1,1,6,0,5,4.6499999999999995,3
3,1,0,0,3,2,1,1,4,7.75,1
2,0,0,0,1,1,1,1,4,10.5,2
3,0,0,0,1,1,1,1,4,9.225,2
1,0,0,2,2,1,3,0,4,70.5,4
2,1,0,0,1,2,1,1,4,13.0,2
1,1,0,0,2,3,1,1,5,27.7208,3
2,0,0,0,2,1,1,1,4,15.0458,3
3,0,1,1,1,1,3,0,4,4.8,2
2,0,1,0,1,1,2,0,4,13.0,3
1,0,0,2,1,4,3,0,1,27.2861,4
3,1,4,2,1,2,7,0,1,4.4678571428571425,4
2,0,0,0,1,1,1,1,4,0.0,1
2,0,0,0,1,1,1,1,4,13.0,2
3,0,0,0,1,1,1,1,4,8.05,2
3,0,0,0,1,1,1,1,4,8.6625,2
2,0,0,0,1,1,1,1,4,10.5,2
2,0,0,0,1,5,1,1,5,14.0,2
3,1,3,0,1,3,4,0,4,3.9625,3
2,0,0,0,1,1,1,1,4,13.0,2
2,0,1,1,1,1,3,0,4,12.25,4
3,0,0,0,3,1,1,1,6,7.75,1
3,0,1,0,1,1,2,0,4,9.98335,3
2,1,0,0,1,3,1,1,5,13.0,2
2,0,0,0,1,1,1,1,3,11.5,2
2,0,0,0,1,1,1,1,4,13.0,2
1,0,0,1,1,1,2,0,5,38.64375,4
3,0,0,0,2,1,1,1,4,7.2292,1
1,0,0,0,1,1,1,1,5,52.0,4
3,0,5,2,1,4,8,0,2,5.8625,4
2,0,2,0,1,1,3,0,4,24.5,4
2,0,0,0,1,1,1,1,4,10.5,2
3,0,0,0,1,1,1,1,5,24.15,3
3,1,0,5,3,3,6,0,5,4.854166666666667,3
3,0,1,0,1,1,2,0,5,7.775,3
1,1,1,0,2,3,2,0,3,54.45,4
3,0,0,0,1,1,1,1,4,8.6625,2
3,1,4,2,1,2,7,0,2,4.4678571428571425,4
3,1,1,0,1,3,2,0,5,7.25,3
1,0,0,0,1,1,1,1,5,26.0,3
3,1,1,5,1,3,7,0,5,4.483928571428572,4
2,1,0,0,3,2,1,1,4,12.35,2
1,1,0,0,1,2,1,1,4,30.0,3
1,1,1,0,2,5,2,0,5,19.8,4
3,0,0,0,3,1,1,1,4,7.7375,1
1,1,1,0,2,3,2,0,4,73.2604,4
1,0,0,0,1,1,1,1,5,0.0,1
3,0,0,0,1,1,1,1,4,7.775,1
3,1,3,1,1,2,5,0,2,4.215,3
3,0,0,0,2,1,1,1,4,18.7875,3
2,0,2,0,1,1,3,0,4,24.5,4
3,0,0,0,2,1,1,1,4,7.2292,1
2,1,1,1,1,2,3,0,1,7.666666666666667,3
1,0,0,0,1,1,1,1,5,26.55,3
1,1,0,0,2,2,1,1,5,227.525,4
1,0,0,0,2,5,1,1,4,30.5,3
3,0,0,0,1,1,1,1,5,8.05,2
3,1,1,0,2,2,2,0,3,7.2271,2
3,0,0,0,1,1,1,1,4,7.05,1
3,0,1,0,2,1,2,0,4,7.2271,2
1,0,0,0,1,1,1,1,5,26.55,3
3,0,4,1,3,4,6,0,2,4.854166666666667,3
2,0,1,0,1,1,2,0,5,13.5,3
1,1,1,1,2,3,3,0,5,44.833333333333336,4
3,1,4,2,1,2,7,0,1,4.483928571428572,4
3,0,0,0,1,1,1,1,4,7.8958,1
3,1,0,0,3,2,1,1,4,7.75,1
3,0,4,1,3,4,6,0,1,4.854166666666667,3
2,0,1,1,1,4,3,0,1,6.25,3
2,1,1,0,1,3,2,0,4,13.0,3
3,0,0,0,2,1,1,1,4,4.0125,1
3,0,0,0,2,1,1,1,4,7.225,1
1,0,0,0,2,1,1,1,5,30.6958,3
3,0,0,0,1,1,1,1,3,8.6625,2
3,0,0,0,2,1,1,1,4,8.7125,2
3,0,0,0,1,1,1,1,4,7.775,1
3,0,0,0,1,1,1,1,4,7.125,1
3,1,4,2,1,2,7,0,2,4.4678571428571425,4
3,1,0,0,3,2,1,1,4,7.8792,1
3,0,0,0,1,1,1,1,4,7.8542,1
3,0,0,0,1,1,1,1,4,9.8458,2
2,1,0,2,1,2,3,0,2,8.75,3
3,0,0,0,1,1,1,1,5,7.925,2
3,0,1,0,2,1,2,0,4,7.2271,2
3,1,0,1,2,3,2,0,5,7.2271,2
3,0,1,1,1,1,3,0,4,6.841666666666666,3
2,0,1,1,1,4,3,0,1,8.666666666666666,3
1,1,1,0,2,3,2,0,4,44.5521,4
3,1,1,0,1,3,2,0,4,8.05,3
3,0,0,0,1,1,1,1,4,56.4958,4
1,1,0,0,1,2,1,1,4,135.6333,4
3,1,1,1,1,3,3,0,4,4.8,2
3,0,1,5,1,1,7,0,5,4.4678571428571425,4
3,0,0,0,1,1,1,1,4,9.5,2
1,0,0,1,2,1,2,0,5,14.85,3
3,0,0,0,1,1,1,1,4,7.25,1
3,0,4,2,1,4,7,0,1,4.4678571428571425,4
1,0,0,1,2,1,2,0,4,31.67915,4
3,0,0,0,1,1,1,1,5,7.05,1
3,0,0,0,1,1,1,1,4,7.05,1
2,1,0,0,1,3,1,1,4,10.5,2
1,0,0,0,1,1,1,1,5,51.8625,4
2,1,0,2,1,3,3,0,4,4.833333333333333,3
3,0,0,0,1,1,1,1,4,7.8958,1
3,1,0,2,2,3,3,0,4,7.452766666666666,3
3,1,0,0,1,2,1,1,3,7.8542,1
2,1,0,1,1,3,2,0,5,9.75,3
3,0,0,0,1,1,1,1,4,14.5,3
2,1,0,0,1,2,1,1,5,10.5,2
3,0,0,0,2,1,1,1,4,7.2292,1
3,0,0,0,1,1,1,1,4,7.775,1
1,1,0,2,2,2,3,0,4,16.5,4
3,0,0,0,1,1,1,1,4,7.4958,1
2,1,0,0,1,2,1,1,4,10.5,2
3,0,0,0,1,1,1,1,5,7.0542,1
2,1,2,1,1,3,4,0,4,6.75,3
2,0,0,0,1,1,1,1,4,13.0,2
3,0,0,0,1,1,1,1,4,8.05,2
1,0,0,0,1,1,1,1,6,33.5,4
3,0,0,0,1,1,1,1,4,8.05,2
3,0,0,0,1,1,1,1,4,10.1708,2
3,0,0,0,1,1,1,1,4,8.05,2
3,1,0,0,3,2,1,1,4,7.75,1
3,0,0,0,1,1,1,1,4,22.525,3
2,1,1,3,1,3,5,0,5,4.6,3
3,0,0,0,1,1,1,1,5,7.125,1
3,0,0,0,2,1,1,1,4,7.2292,1
3,0,0,0,2,1,1,1,4,7.8958,1
2,0,1,0,1,1,2,0,4,5.75,2
2,1,1,1,1,3,3,0,5,13.0,4
2,0,0,0,1,1,1,1,5,10.5,2
2,1,1,0,1,3,2,0,4,13.0,3
3,1,1,0,2,3,2,0,3,7.2271,2
3,0,0,0,3,1,1,1,5,7.75,1
3,0,0,0,3,1,1,1,4,7.75,1
2,1,0,2,1,3,3,0,4,8.666666666666666,3
3,0,0,0,1,1,1,1,4,8.05,2
2,0,0,0,1,1,1,1,4,10.5,2
1,1,2,2,2,2,5,0,3,52.475,4
3,1,1,0,1,3,2,0,3,8.9,3
1,0,0,0,1,1,1,1,5,42.4,4
3,0,0,0,3,1,1,1,4,7.7333,1
3,0,0,0,1,1,1,1,4,8.05,2
1,0,0,1,1,1,2,0,4,38.64375,4
3,1,0,0,3,2,1,1,4,7.8292,1
1,1,1,1,2,3,3,0,5,36.9611,4
3,0,0,0,1,1,1,1,4,7.8542,1
1,0,0,0,2,1,1,1,5,29.7,3
1,0,1,0,2,5,2,0,5,28.4646,4
3,1,2,1,2,2,4,0,1,4.814575,3
1,1,1,1,1,3,3,0,5,26.55,4
3,0,0,0,1,1,1,1,3,8.6625,2
1,0,0,1,2,1,2,0,6,30.9896,4
1,1,1,0,1,3,2,0,4,66.825,4
1,1,0,0,2,2,1,1,4,110.8833,4
3,0,0,0,1,1,1,1,4,8.05,2
1,0,0,0,1,1,1,1,4,50.4958,4
3,0,0,0,1,1,1,1,4,7.925,2
2,0,0,0,1,1,1,1,5,13.0,2
3,0,0,0,1,1,1,1,4,8.05,2
2,0,0,0,1,1,1,1,4,13.0,2
1,0,0,0,1,1,1,1,5,25.5875,3
1,0,0,0,1,1,1,1,5,26.2875,3
3,0,0,0,1,1,1,1,4,16.1,3
3,0,0,0,1,1,1,1,4,8.05,2
3,0,0,0,1,1,1,1,4,7.8958,1
3,1,0,0,1,2,1,1,4,8.6625,2
3,0,0,0,1,1,1,1,4,7.8958,1
3,0,0,0,2,1,1,1,4,7.225,1
3,0,0,0,1,1,1,1,4,8.6542,2
1,1,0,0,2,2,1,1,4,56.9292,4
2,0,2,1,1,4,4,0,1,9.75,4
3,1,0,0,1,2,1,1,4,8.6625,2
2,1,1,1,1,3,3,0,4,10.833333333333334,4
1,0,0,0,1,1,1,1,5,35.5,4
2,1,0,0,1,3,1,1,5,13.0,2
3,0,0,0,1,1,1,1,5,7.925,2
3,0,1,1,2,1,3,0,4,5.247233333333333,3
3,0,0,0,2,1,1,1,4,6.4375,1
3,0,0,0,1,1,1,1,4,9.5,2
3,0,2,0,3,1,3,0,4,7.75,3
3,0,0,0,1,1,1,1,4,8.05,2
3,1,0,2,1,2,3,0,2,8.049999999999999,3
3,1,1,1,2,2,3,0,2,5.081933333333333,3
3,0,0,0,1,1,1,1,4,7.8958,1
3,0,0,0,1,1,1,1,4,7.25,1
1,1,1,0,1,3,2,0,4,26.0,4
1,1,0,0,2,2,1,1,5,135.6333,4
3,0,0,0,1,1,1,1,4,8.05,2
3,0,0,0,1,1,1,1,4,7.55,1
3,0,0,0,1,1,1,1,4,8.6625,2
3,1,0,0,1,2,1,1,4,10.5167,2
2,0,0,0,1,1,1,1,5,13.0,2
3,1,0,0,1,2,1,1,5,9.5875,2
2,1,1,2,1,3,4,0,5,16.25,4
2,0,0,0,1,1,1,1,4,13.0,2
3,1,0,0,3,2,1,1,4,7.7375,1
2,0,0,0,1,1,1,1,6,10.5,2
3,1,1,1,3,3,3,0,4,5.166666666666667,3
3,0,1,1,1,1,3,0,3,6.75,3
2,0,0,0,1,1,1,1,4,73.5,4
3,0,0,0,1,1,1,1,4,7.25,1
2,0,0,0,1,5,1,1,5,13.0,2
3,0,0,0,1,1,1,1,4,7.7958,1
3,1,0,0,1,2,1,1,4,7.75,1
3,0,0,0,2,1,1,1,5,7.225,1
1,0,1,2,1,4,4,0,1,37.8875,4
3,0,0,0,2,1,1,1,4,8.6625,2
3,0,0,0,1,1,1,1,3,7.775,1
3,0,0,0,1,1,1,1,4,56.4958,4
2,0,1,0,1,1,2,0,5,13.0,3
3,1,0,0,1,2,1,1,1,12.475,2
3,1,0,0,2,2,1,1,3,7.2292,1
2,0,0,0,1,1,1,1,4,26.0,3
2,1,0,0,1,2,1,1,5,13.0,2
3,0,0,0,1,1,1,1,5,7.55,1
3,0,1,1,1,4,3,0,1,5.3,3
2,1,0,0,1,3,1,1,4,12.65,2
1,1,0,1,2,3,2,0,5,123.7604,4
1,0,0,0,1,1,1,1,5,26.55,3
3,0,0,0,2,1,1,1,4,7.2292,1
1,1,0,0,1,2,1,1,4,78.85,4
3,0,0,0,1,1,1,1,4,7.8958,1
1,1,0,0,2,5,1,1,4,49.5042,4
1,0,1,0,1,1,2,0,5,26.2771,4
1,0,0,0,1,1,1,1,5,26.2875,3
3,0,0,0,1,1,1,1,4,7.8958,1
2,0,1,2,1,1,4,0,5,6.9375,3
1,1,0,2,1,2,3,0,4,8.7611,3
3,1,8,2,1,2,11,0,4,6.322727272727272,4
1,0,0,0,1,1,1,1,6,26.55,3
3,1,0,0,3,2,1,1,3,8.0292,2
3,1,0,0,2,3,1,1,4,7.225,1
1,0,0,0,2,1,1,1,5,79.2,4
1,0,0,0,1,1,1,1,4,47.1,4
2,1,0,1,1,3,2,0,5,13.0,3
